"12jz -- Maanteiden pituus ja liikennesuorite kunnittain, 2017-2024"

"Alue";"Tieluokka";"Päällyste";"Vuosi";"Tiepituus"
"Laitila";"Yhteensä";"Yhteensä";"2023";229
"Pyhäranta";"Yhteensä";"Yhteensä";"2023";56
"Taivassalo";"Yhteensä";"Yhteensä";"2023";69
"Uusikaupunki";"Yhteensä";"Yhteensä";"2023";224
"Vehmaa";"Yhteensä";"Yhteensä";"2023";95
"Kemiönsaari";"Yhteensä";"Yhteensä";"2023";228
"Parainen";"Yhteensä";"Yhteensä";"2023";323
"MK05 Kanta-Häme";"Yhteensä";"Yhteensä";"2023";2225
"Forssa";"Yhteensä";"Yhteensä";"2023";112
"Humppila";"Yhteensä";"Yhteensä";"2023";70
"Jokioinen";"Yhteensä";"Yhteensä";"2023";118
"Tammela";"Yhteensä";"Yhteensä";"2023";229
"Ypäjä";"Yhteensä";"Yhteensä";"2023";94
"Hattula";"Yhteensä";"Yhteensä";"2023";142
"Hämeenlinna";"Yhteensä";"Yhteensä";"2023";717
"Janakkala";"Yhteensä";"Yhteensä";"2023";265
"Hausjärvi";"Yhteensä";"Yhteensä";"2023";176
"Loppi";"Yhteensä";"Yhteensä";"2023";233
"Riihimäki";"Yhteensä";"Yhteensä";"2023";70
"MK07 Päijät-Häme";"Yhteensä";"Yhteensä";"2023";2466
"Asikkala";"Yhteensä";"Yhteensä";"2023";225
"Hartola";"Yhteensä";"Yhteensä";"2023";218
"Heinola";"Yhteensä";"Yhteensä";"2023";261
"Hollola";"Yhteensä";"Yhteensä";"2023";368
"Iitti";"Yhteensä";"Yhteensä";"2023";239
"Kärkölä";"Yhteensä";"Yhteensä";"2023";120
"Lahti";"Yhteensä";"Yhteensä";"2023";245
"Orimattila";"Yhteensä";"Yhteensä";"2023";361
"Padasjoki";"Yhteensä";"Yhteensä";"2023";195
"Sysmä";"Yhteensä";"Yhteensä";"2023";235
"MK08 Kymenlaakso";"Yhteensä";"Yhteensä";"2023";1761
"Hamina";"Yhteensä";"Yhteensä";"2023";222
"Kotka";"Yhteensä";"Yhteensä";"2023";104
"Miehikkälä";"Yhteensä";"Yhteensä";"2023";134
"Pyhtää";"Yhteensä";"Yhteensä";"2023";145
"Virolahti";"Yhteensä";"Yhteensä";"2023";171
"Kouvola";"Yhteensä";"Yhteensä";"2023";984
"MK09 Etelä-Karjala";"Yhteensä";"Yhteensä";"2023";2136
"Imatra";"Yhteensä";"Yhteensä";"2023";65
"Parikkala";"Yhteensä";"Yhteensä";"2023";284
"Rautjärvi";"Yhteensä";"Yhteensä";"2023";186
"Ruokolahti";"Yhteensä";"Yhteensä";"2023";294
"Lappeenranta";"Yhteensä";"Yhteensä";"2023";625
"Lemi";"Yhteensä";"Yhteensä";"2023";89
"Luumäki";"Yhteensä";"Yhteensä";"2023";260
"Savitaipale";"Yhteensä";"Yhteensä";"2023";205
"Taipalsaari";"Yhteensä";"Yhteensä";"2023";127
"MK04 Satakunta";"Yhteensä";"Yhteensä";"2023";3153
"Jämijärvi";"Yhteensä";"Yhteensä";"2023";94
"Kankaanpää";"Yhteensä";"Yhteensä";"2023";340
"Karvia";"Yhteensä";"Yhteensä";"2023";169
"Siikainen";"Yhteensä";"Yhteensä";"2023";125
"Harjavalta";"Yhteensä";"Yhteensä";"2023";55
"Huittinen";"Yhteensä";"Yhteensä";"2023";300
"Kokemäki";"Yhteensä";"Yhteensä";"2023";232
"Merikarvia";"Yhteensä";"Yhteensä";"2023";166
"Nakkila";"Yhteensä";"Yhteensä";"2023";93
"Pomarkku";"Yhteensä";"Yhteensä";"2023";100
"Pori";"Yhteensä";"Yhteensä";"2023";461
"Ulvila";"Yhteensä";"Yhteensä";"2023";159
"Eura";"Yhteensä";"Yhteensä";"2023";252
"Eurajoki";"Yhteensä";"Yhteensä";"2023";205
"Rauma";"Yhteensä";"Yhteensä";"2023";199
"Säkylä";"Yhteensä";"Yhteensä";"2023";203
"MK06 Pirkanmaa";"Yhteensä";"Yhteensä";"2023";5240
"Akaa";"Yhteensä";"Yhteensä";"2023";152
"Urjala";"Yhteensä";"Yhteensä";"2023";206
"Valkeakoski";"Yhteensä";"Yhteensä";"2023";148
"Punkalaidun";"Yhteensä";"Yhteensä";"2023";154
"Sastamala";"Yhteensä";"Yhteensä";"2023";698
"Ikaalinen";"Yhteensä";"Yhteensä";"2023";236
"Kihniö";"Yhteensä";"Yhteensä";"2023";123
"Parkano";"Yhteensä";"Yhteensä";"2023";256
"Hämeenkyrö";"Yhteensä";"Yhteensä";"2023";252
"Kangasala";"Yhteensä";"Yhteensä";"2023";303
"Kuhmoinen";"Yhteensä";"Yhteensä";"2023";196
"Lempäälä";"Yhteensä";"Yhteensä";"2023";139
"Nokia";"Yhteensä";"Yhteensä";"2023";154
"Orivesi";"Yhteensä";"Yhteensä";"2023";320
"Pirkkala";"Yhteensä";"Yhteensä";"2023";37
"Pälkäne";"Yhteensä";"Yhteensä";"2023";243
"Tampere";"Yhteensä";"Yhteensä";"2023";220
"Vesilahti";"Yhteensä";"Yhteensä";"2023";115
"Ylöjärvi";"Yhteensä";"Yhteensä";"2023";372
"Juupajoki";"Yhteensä";"Yhteensä";"2023";113
"Mänttä-Vilppula";"Yhteensä";"Yhteensä";"2023";196
"Ruovesi";"Yhteensä";"Yhteensä";"2023";240
"Virrat";"Yhteensä";"Yhteensä";"2023";367
"MK13 Keski-Suomi";"Yhteensä";"Yhteensä";"2023";5120
"Joutsa";"Yhteensä";"Yhteensä";"2023";266
"Luhanka";"Yhteensä";"Yhteensä";"2023";57
"Hankasalmi";"Yhteensä";"Yhteensä";"2023";233
"Jyväskylä";"Yhteensä";"Yhteensä";"2023";491
"Laukaa";"Yhteensä";"Yhteensä";"2023";276
"Muurame";"Yhteensä";"Yhteensä";"2023";66
"Petäjävesi";"Yhteensä";"Yhteensä";"2023";153
"Toivakka";"Yhteensä";"Yhteensä";"2023";136
"Uurainen";"Yhteensä";"Yhteensä";"2023";120
"Jämsä";"Yhteensä";"Yhteensä";"2023";609
"Keuruu";"Yhteensä";"Yhteensä";"2023";360
"Multia";"Yhteensä";"Yhteensä";"2023";176
"Kannonkoski";"Yhteensä";"Yhteensä";"2023";135
"Karstula";"Yhteensä";"Yhteensä";"2023";259
"Kinnula";"Yhteensä";"Yhteensä";"2023";81
"Kivijärvi";"Yhteensä";"Yhteensä";"2023";106
"Kyyjärvi";"Yhteensä";"Yhteensä";"2023";121
"Pihtipudas";"Yhteensä";"Yhteensä";"2023";263
"Saarijärvi";"Yhteensä";"Yhteensä";"2023";407
"Viitasaari";"Yhteensä";"Yhteensä";"2023";386
"Konnevesi";"Yhteensä";"Yhteensä";"2023";151
"Äänekoski";"Yhteensä";"Yhteensä";"2023";270
"MK14 Etelä-Pohjanmaa";"Yhteensä";"Yhteensä";"2023";4721
"Alajärvi";"Yhteensä";"Yhteensä";"2023";342
"Evijärvi";"Yhteensä";"Yhteensä";"2023";138
"Lappajärvi";"Yhteensä";"Yhteensä";"2023";106
"Soini";"Yhteensä";"Yhteensä";"2023";174
"Vimpeli";"Yhteensä";"Yhteensä";"2023";111
"Alavus";"Yhteensä";"Yhteensä";"2023";399
"Kuortane";"Yhteensä";"Yhteensä";"2023";155
"Ähtäri";"Yhteensä";"Yhteensä";"2023";241
"Ilmajoki";"Yhteensä";"Yhteensä";"2023";254
"Isokyrö";"Yhteensä";"Yhteensä";"2023";173
"Kauhava";"Yhteensä";"Yhteensä";"2023";505
"Kurikka";"Yhteensä";"Yhteensä";"2023";605
"Lapua";"Yhteensä";"Yhteensä";"2023";250
"Seinäjoki";"Yhteensä";"Yhteensä";"2023";526
"Isojoki";"Yhteensä";"Yhteensä";"2023";123
"Karijoki";"Yhteensä";"Yhteensä";"2023";69
"Kauhajoki";"Yhteensä";"Yhteensä";"2023";352
"Teuva";"Yhteensä";"Yhteensä";"2023";199
"MK15 Pohjanmaa";"Yhteensä";"Yhteensä";"2023";2655
"Kruunupyy";"Yhteensä";"Yhteensä";"2023";244
"Luoto";"Yhteensä";"Yhteensä";"2023";45
"Pedersören kunta";"Yhteensä";"Yhteensä";"2023";234
"Pietarsaari";"Yhteensä";"Yhteensä";"2023";30
"Uusikaarlepyy";"Yhteensä";"Yhteensä";"2023";248
"Kaskinen";"Yhteensä";"Yhteensä";"2023";6
"Kristiinankaupunki";"Yhteensä";"Yhteensä";"2023";229
"Närpiö";"Yhteensä";"Yhteensä";"2023";395
"Korsnäs";"Yhteensä";"Yhteensä";"2023";84
"Laihia";"Yhteensä";"Yhteensä";"2023";200
"Maalahti";"Yhteensä";"Yhteensä";"2023";171
"Mustasaari";"Yhteensä";"Yhteensä";"2023";345
"Vaasa";"Yhteensä";"Yhteensä";"2023";149
"Vöyri";"Yhteensä";"Yhteensä";"2023";276
"MK10 Etelä-Savo";"Yhteensä";"Yhteensä";"2023";4416
"Hirvensalmi";"Yhteensä";"Yhteensä";"2023";180
"Kangasniemi";"Yhteensä";"Yhteensä";"2023";378
"Mikkeli";"Yhteensä";"Yhteensä";"2023";957
"Mäntyharju";"Yhteensä";"Yhteensä";"2023";313
"Pertunmaa";"Yhteensä";"Yhteensä";"2023";148
"Puumala";"Yhteensä";"Yhteensä";"2023";249
"Juva";"Yhteensä";"Yhteensä";"2023";396
"Pieksämäki";"Yhteensä";"Yhteensä";"2023";552
"Enonkoski";"Yhteensä";"Yhteensä";"2023";101
"Rantasalmi";"Yhteensä";"Yhteensä";"2023";219
"Savonlinna";"Yhteensä";"Yhteensä";"2023";737
"Sulkava";"Yhteensä";"Yhteensä";"2023";187
"MK11 Pohjois-Savo";"Yhteensä";"Yhteensä";"2023";6153
"Kaavi";"Yhteensä";"Yhteensä";"2023";185
"Rautavaara";"Yhteensä";"Yhteensä";"2023";268
"Tuusniemi";"Yhteensä";"Yhteensä";"2023";229
"Kuopio";"Yhteensä";"Yhteensä";"2023";1313
"Siilinjärvi";"Yhteensä";"Yhteensä";"2023";187
"Rautalampi";"Yhteensä";"Yhteensä";"2023";217
"Suonenjoki";"Yhteensä";"Yhteensä";"2023";242
"Tervo";"Yhteensä";"Yhteensä";"2023";142
"Vesanto";"Yhteensä";"Yhteensä";"2023";172
"Joroinen";"Yhteensä";"Yhteensä";"2023";219
"Leppävirta";"Yhteensä";"Yhteensä";"2023";349
"Varkaus";"Yhteensä";"Yhteensä";"2023";130
"Iisalmi";"Yhteensä";"Yhteensä";"2023";371
"Keitele";"Yhteensä";"Yhteensä";"2023";169
"Kiuruvesi";"Yhteensä";"Yhteensä";"2023";467
"Lapinlahti";"Yhteensä";"Yhteensä";"2023";468
"Pielavesi";"Yhteensä";"Yhteensä";"2023";379
"Sonkajärvi";"Yhteensä";"Yhteensä";"2023";358
"Vieremä";"Yhteensä";"Yhteensä";"2023";288
"MK12 Pohjois-Karjala";"Yhteensä";"Yhteensä";"2023";5424
"Heinävesi";"Yhteensä";"Yhteensä";"2023";325
"Ilomantsi";"Yhteensä";"Yhteensä";"2023";490
"Joensuu";"Yhteensä";"Yhteensä";"2023";834
"Juuka";"Yhteensä";"Yhteensä";"2023";366
"Kontiolahti";"Yhteensä";"Yhteensä";"2023";279
"Liperi";"Yhteensä";"Yhteensä";"2023";323
"Outokumpu";"Yhteensä";"Yhteensä";"2023";177
"Polvijärvi";"Yhteensä";"Yhteensä";"2023";261
"Kitee";"Yhteensä";"Yhteensä";"2023";516
"Rääkkylä";"Yhteensä";"Yhteensä";"2023";195
"Tohmajärvi";"Yhteensä";"Yhteensä";"2023";324
"Lieksa";"Yhteensä";"Yhteensä";"2023";770
"Nurmes";"Yhteensä";"Yhteensä";"2023";565
"MK16 Keski-Pohjanmaa";"Yhteensä";"Yhteensä";"2023";1206
"Halsua";"Yhteensä";"Yhteensä";"2023";76
"Kaustinen";"Yhteensä";"Yhteensä";"2023";93
"Lestijärvi";"Yhteensä";"Yhteensä";"2023";70
"Perho";"Yhteensä";"Yhteensä";"2023";148
"Toholampi";"Yhteensä";"Yhteensä";"2023";141
"Veteli";"Yhteensä";"Yhteensä";"2023";141
"Kannus";"Yhteensä";"Yhteensä";"2023";141
"Kokkola";"Yhteensä";"Yhteensä";"2023";395
"MK17 Pohjois-Pohjanmaa";"Yhteensä";"Yhteensä";"2023";8335
"Haapavesi";"Yhteensä";"Yhteensä";"2023";294
"Pyhäntä";"Yhteensä";"Yhteensä";"2023";171
"Siikalatva";"Yhteensä";"Yhteensä";"2023";531
"Kuusamo";"Yhteensä";"Yhteensä";"2023";1030
"Taivalkoski";"Yhteensä";"Yhteensä";"2023";318
"Haapajärvi";"Yhteensä";"Yhteensä";"2023";186
"Kärsämäki";"Yhteensä";"Yhteensä";"2023";211
"Nivala";"Yhteensä";"Yhteensä";"2023";230
"Pyhäjärvi";"Yhteensä";"Yhteensä";"2023";348
"Reisjärvi";"Yhteensä";"Yhteensä";"2023";133
"Hailuoto";"Yhteensä";"Yhteensä";"2023";41
"Kempele";"Yhteensä";"Yhteensä";"2023";45
"Liminka";"Yhteensä";"Yhteensä";"2023";168
"Lumijoki";"Yhteensä";"Yhteensä";"2023";47
"Muhos";"Yhteensä";"Yhteensä";"2023";166
"Oulu";"Yhteensä";"Yhteensä";"2023";692
"Tyrnävä";"Yhteensä";"Yhteensä";"2023";168
"Ii";"Yhteensä";"Yhteensä";"2023";349
"Pudasjärvi";"Yhteensä";"Yhteensä";"2023";831
"Utajärvi";"Yhteensä";"Yhteensä";"2023";264
"Vaala";"Yhteensä";"Yhteensä";"2023";317
"Pyhäjoki";"Yhteensä";"Yhteensä";"2023";119
"Raahe";"Yhteensä";"Yhteensä";"2023";333
"Siikajoki";"Yhteensä";"Yhteensä";"2023";319
"Alavieska";"Yhteensä";"Yhteensä";"2023";114
"Kalajoki";"Yhteensä";"Yhteensä";"2023";276
"Merijärvi";"Yhteensä";"Yhteensä";"2023";76
"Oulainen";"Yhteensä";"Yhteensä";"2023";200
"Sievi";"Yhteensä";"Yhteensä";"2023";158
"Ylivieska";"Yhteensä";"Yhteensä";"2023";199
"MK18 Kainuu";"Yhteensä";"Yhteensä";"2023";4412
"Kajaani";"Yhteensä";"Yhteensä";"2023";455
"Paltamo";"Yhteensä";"Yhteensä";"2023";294
"Ristijärvi";"Yhteensä";"Yhteensä";"2023";234
"Sotkamo";"Yhteensä";"Yhteensä";"2023";662
"Hyrynsalmi";"Yhteensä";"Yhteensä";"2023";308
"Kuhmo";"Yhteensä";"Yhteensä";"2023";936
"Puolanka";"Yhteensä";"Yhteensä";"2023";455
"Suomussalmi";"Yhteensä";"Yhteensä";"2023";1067
"MK19 Lappi";"Yhteensä";"Yhteensä";"2023";9072
"Kemijärvi";"Yhteensä";"Yhteensä";"2023";513
"Pelkosenniemi";"Yhteensä";"Yhteensä";"2023";192
"Posio";"Yhteensä";"Yhteensä";"2023";511
"Salla";"Yhteensä";"Yhteensä";"2023";576
"Savukoski";"Yhteensä";"Yhteensä";"2023";297
"Kemi";"Yhteensä";"Yhteensä";"2023";41
"Keminmaa";"Yhteensä";"Yhteensä";"2023";152
"Simo";"Yhteensä";"Yhteensä";"2023";252
"Tervola";"Yhteensä";"Yhteensä";"2023";322
"Tornio";"Yhteensä";"Yhteensä";"2023";366
"Inari";"Yhteensä";"Yhteensä";"2023";727
"Sodankylä";"Yhteensä";"Yhteensä";"2023";652
"Utsjoki";"Yhteensä";"Yhteensä";"2023";301
"Ranua";"Yhteensä";"Yhteensä";"2023";541
"Rovaniemi";"Yhteensä";"Yhteensä";"2023";1151
"Pello";"Yhteensä";"Yhteensä";"2023";337
"Ylitornio";"Yhteensä";"Yhteensä";"2023";377
"Enontekiö";"Yhteensä";"Yhteensä";"2023";377
"Kittilä";"Yhteensä";"Yhteensä";"2023";699
"Kolari";"Yhteensä";"Yhteensä";"2023";417
"Muonio";"Yhteensä";"Yhteensä";"2023";269
"Tuntematon";"Yhteensä";"Yhteensä";"2023";0
